title,text,prep_text,source
2025-03.05 (수) ~ 2025-03.07 (금),2025-1학기 2차 등록 기간 및 1차 분할납부 등록 기간,2025 1학기 2차 등록 기간 및 1차 분할납부 등록 기간,2025년 학사 일정
2025-03.10 (월) ~ 2025-03.14 (금),2025-1학기 조기졸업 신청 기간,2025 1학기 조기졸업 신청 기간,2025년 학사 일정
2025-03.12 (수) ~ 2025-03.14 (금),2025-1학기 초과학기자 등록 기간,2025 1학기 초과학기자 등록 기간,2025년 학사 일정
2025-03.18 (화) ~ 2025-03.24 (월),2025-1학기 수강과목 철회 기간,2025 1학기 수강과목 철회 기간,2025년 학사 일정
2025-03.26 (수) ~ 2025-04.01 (화),휴학 및 자퇴신청 일시제한,휴학 및 자퇴신청 일시제한,2025년 학사 일정
2025-04.02 (수) ~ 2025-04.04 (금),2025-1학기 2차 분할납부 등록기간,2025 1학기 2차 분할납부 등록기간,2025년 학사 일정
2025-04.02 (수),2025-1학기 수업일수 30일선,2025 1학기 수업일수 30일선,2025년 학사 일정
2025-04.30 (수),111주년 개교기념일,111주년 개교기념일,2025년 학사 일정
2025-04.30 (수) ~ 2025-05.02 (금),2025-1학기 3차 분할납부 등록 기간,2025 1학기 3차 분할납부 등록 기간,2025년 학사 일정
2025-05.02 (금),2025-1학기 수업일수 60일선,2025 1학기 수업일수 60일선,2025년 학사 일정
2025-05.05 (월),부처님오신날,부처님오신날,2025년 학사 일정
2025-05.05 (월),어린이날,어린이날,2025년 학사 일정
2025-05.06 (화),대체공휴일,대체공휴일,2025년 학사 일정
2025-05.12 (월) ~ 2025-05.16 (금),2025-2학기 재입학 원서 접수 기간,2025 2학기 재입학 원서 접수 기간,2025년 학사 일정
2025-05.19 (월) ~ 2025-05.23 (금),2025-2학기 1차 전공 신청 및 변경 기간,2025 2학기 1차 전공 신청 및 변경 기간,2025년 학사 일정
2025-05.26 (월) ~ 2025-05.30 (금),2025-여름 계절학기 수강신청 기간,2025 여름 계절학기 수강신청 기간,2025년 학사 일정
2025-06.01 (일),2025-1학기 수업일수 90일선,2025 1학기 수업일수 90일선,2025년 학사 일정
2025-06.02 (월) ~ 2025-06.27 (금),2025-2학기 1차 교내장학금 신청기간,2025 2학기 1차 교내장학금 신청기간,2025년 학사 일정
2025-06.06 (금),현충일,현충일,2025년 학사 일정
2025-06.09 (월) ~ 2025-06.13 (금),2025-여름 계절학기 등록 기간,2025 여름 계절학기 등록 기간,2025년 학사 일정
2025-06.10 (화) ~ 2025-06.23 (월),2025-1학기 기말고사 기간,2025 1학기 기말고사 기간,2025년 학사 일정
2025-06.23 (월),2025-1학기 종강일,2025 1학기 종강일,2025년 학사 일정
2025-06.24 (화) ~ 2025-07.14 (월),2025-여름 계절학기 수업기간,2025 여름 계절학기 수업기간,2025년 학사 일정
2025-06.26 (목) ~ 2025-06.29 (일),2025-1학기 성적 확인 및 이의신청 기간,2025 1학기 성적 확인 및 이의신청 기간,2025년 학사 일정
2025-06.30 (월) ~ 2025-07.11 (금),2024-후기(2025년 8월 졸업) 졸업사정 기간,2024 후기2025년 8월 졸업 졸업사정 기간,2025년 학사 일정
